717; MOWING MEADOW / PASTURE THREE AND MORE USES
105; GRAIN CORN
138; WINTER WHEAT
110; WINTER BARLEY
109; SILO CORN
308; SOYBEANS
116; WINTERTRITICALE
716; MOWING MEADOW / PASTURE TWO USES
634; KLEEGRAS
301; WINTERRAPS
651; SUGAR BEET
715; PERMANENT PASTURE
636; ALTERNATE MEADOW (EGART, FARM WILLE)
155; SUMMER OATS
142; WINTER Rye
106; CORN CORN-COB-MIX (CCM)
202; FARM BEANS (PUFF BEANS)
990; ALM FORAGE AREA
111; SUMMER BARLEY
637; FORAGE GRASS
633; CLOVER
173; SEED CORRECTION
145; WINTER DINKEL (FUR)
113; WINTERMENG GRAIN
771; GRÜNBRACHE
701; UNIQUE MEADOW
536; WINTER KUMMEL
137; SUMMER WHEAT
751; OIL PUMPKIN
524; EDIBLE POTATOES
114; SUMMER LENGTH OF GRAIN
509; SUMMER POPPY
696; FIELD VEGETABLES, SINGLE CULTURE
519; STARCH POTATOES
679; OTHER FIELD FORAGE
817; TABLE APPLES
697; FIELD VEGETABLES PROCESSING SINGLE CULTURE
635; LUZERNE
118; MILLET
755; STRAWBERRIES
707; HUTWEIDE
107; SUGAR CORN
115; PEAS-GRAIN MIX
307; SUNFLOWERS
201; GRAIN PEAS
527; SEED POTATOES
694; FIELD VEGETABLES MULTICULTURED
535; SUMMER KUMMEL
658; HEMP
676; FIELD VEGETABLES CUCUMBERS
310; OIL (NOT FOR FIBER RECOVERY)
119; BUCKWHEAT
686; ELEPHANT GRASS (CHINA REED, MISCANTHUS
150; EMMER OR EINKORN (WINTERING)
157; SUMMER TRITICALE
821; HOPS
831; STRAWBERRIES
681; GREEN CUTTROGGEN
842; NUTS (WALNUTS, HAZELNUTS,.
768; PUMPKIN
117; SORGHUM
721; GRASSLAND DESTRUCTION
671; OTHER FARM CROPS
813; APRICLES
153; WINTER BARLEY / BUCKWHEAT
172; CORN / BEETLE BEANS IN SEPARATE ROWS
764; GREEN CUT TROUGH / CORN
540; SPICE FENNEL
631; FORAGE BEETS (RUNKELBURBEN, BURGUND KOHLR
165; WINTER DURUM WHEAT (DURUM)
863; ENERGY WOOD WITHOUT ROBINIE
661; OTHER FARM AREA
303; WINTER BEETS
861; MULTI-YEAR NURSERY
812; CHERRIES
638; VETCHET-GRAIN MIX
538; MEDICINAL PLANTS
525; INDUSTRIAL POTATOES
166; DURUM WHEAT (DURUM)
510; WINTER POPPY
506; MUSTARD
302; SUMMER RAPES
206; FARM BEANS - GRAIN MIX
710; OTHER GRASSLAND AREAS
689; LEINDOTTER
625; WINTERWICKEN
160; WINTER WHEAT / BUCKWHEAT
141; SUMMER Rye
901; WINE
149; EMMER OR EINKORN (SUMMER)
653; FIELD VEGETABLES WITHOUT HARVEST
208; FIELD BEANS / PEAS COLLECTION
513; EARLY POTATOES
820; PLUMS
959; 20 YEAR SHUTDOWN
860; ONE-YEAR NURSERY SCHOOLS
852; FRUIT IN THE FOIL TUNNEL
829; NECTARINES
960; FOREST ENVIRONMENTAL MEASURES
818; TABLE PEARS
144; WINTER Rye / FIELD VEGETABLES
765; GREEN CUT Rye / MILLET
759; QUINOA
758; AMARANTH
690; OIL RADISH
682; PHACELIA
125; WINTER BARLEY / FIELD VEGETABLES
207; BITTER LUPINES
203; SWEET LUPINES
170; DURUM WHEAT / BUCKWHEAT
154; SUDANGRAS
152; EMMER OR EINKORN (WINTERING) / FIELD VEGETABLES
151; EMMER OR EINKORN (SUMMER) / FIELD VEGETABLES
641; ENERGIEGRA
