Culture Code,Culture Label,Culture Group Code,Culture Group Label
BTH,Soft winter wheat,1,Soft wheat
BTP,Soft spring wheat,1,Soft wheat
MID,Corn sweet,2,Grain corn and silage
MIE,Corn silage,2,Grain corn and silage
MIS,Corn,2,Grain corn and silage
ORH,Winter barley,3,Barley
ORP,Spring barley,3,Barley
AVH,Winter oats,4,Other cereals
AVP,Spring oats,4,Other cereals
BDH,Winter hard wheat,4,Other cereals
BDP,Hard spring wheat,4,Other cereals
BDT,Durum spring wheat sown late (after 05/31),4,Other cereals
CAG,Another cereal of another kind,4,Other cereals
CGF,Other cereal of the genus Fagopyrum,4,Other cereals
CGH,Other Phalaris-type cereal,4,Other cereals
CGO,Other Sorghum-type cereal,4,Other cereals
CGP,Other cereal of the genus Panicum,4,Other cereals
CGS,Other Setaria-type cereal,4,Other cereals
CHA,Other winter cereal of the genus Avena,4,Other cereals
CHH,Other winter cereal of the Hordeum genus,4,Other cereals
CHS,Other Secale winter cereal,4,Other cereals
CHT,Other winter cereal of the genus Triticum,4,Other cereals
CPA,Other Avena genus of spring cereal,4,Other cereals
CPH,Other spring cereal of the genus Hordeum,4,Other cereals
CPS,Other spring cereal of the genus Secale,4,Other cereals
CPT,Other spring cereal of the genus Triticum,4,Other cereals
CPZ,Other spring cereal of the genus Zea,4,Other cereals
EPE,Spelled,4,Other cereals
MCR,Cereal mix,4,Other cereals
MLT,Millet,4,Other cereals
SGH,Winter rye,4,Other cereals
SGP,Spring rye,4,Other cereals
SOG,Sorghum,4,Other cereals
SRS,Buckwheat,4,Other cereals
TTH,Winter triticale,4,Other cereals
TTP,Spring triticale,4,Other cereals
CZH,Winter rapeseed,5,Rapeseed
CZP,Spring rapeseed,5,Rapeseed
TRN,Sunflower,6,Sunflower
ARA,Peanut,7,Other oilseeds
LIH,Winter non-textile linen,7,Other oilseeds
LIP,Spring non-textile linen,7,Other oilseeds
MOL,Oilseed mix,7,Other oilseeds
NVE,Summer shuttle,7,Other oilseeds
NVH,Winter shuttle,7,Other oilseeds
OAG,Other oilseeds of another kind,7,Other oilseeds
OEH,Other Helianthus oilseed,7,Other oilseeds
OEI,Eyelet,7,Other oilseeds
OHN,Other winter oilseed species Brassica napus,7,Other oilseeds
OHR,Other winter oilseed species Brassica rapa,7,Other oilseeds
OPN,Other spring oilseed species Brassica napus,7,Other oilseeds
OPR,Other spring oilseed species Brassica rapa,7,Other oilseeds
SOJ,Soy,7,Other oilseeds
FEV,Bean,8,Protein crops
FVL,Faba bean sown before 31/05,8,Protein crops
FVT,Faba bean sown late (after 05/31),8,Protein crops
LDH,Winter sweet lupine,8,Protein crops
LDP,Sweet spring lupine sown before 31/05,8,Protein crops
LDT,Late spring sweet lupine (after 31/05),8,Protein crops
MPC,Mix of protein crops (peas and / or lupine and / or faba beans) predominantly sown before 31/05 and cereals,8,Protein crops
MPP,Protein blend (pea and / or lupine and / or faba bean),8,Protein crops
MPT,Late sown protein crop mix (after 05/31),8,Protein crops
PAG,Other protein crops of another kind,8,Protein crops
PHI,Winter peas,8,Protein crops
PPR,Spring peas sown before 31/05,8,Protein crops
PPT,Late peas sown late (after 31/05),8,Protein crops
CHV,Hemp,9,Fiber plants
CSE,Hemp without compliant label,9,Fiber plants
LIF,Flax fibers,9,Fiber plants
J5M,Fallow 5 years or less,11,Frost (frozen surfaces without production)
J6P,Fallow 6 years or more,11,Frost (frozen surfaces without production)
J6S,Fallow land of 6 years or more declared as Area of ​​ecological interest,11,Frost (frozen surfaces without production)
JNO,Black fallow,11,Frost (frozen surfaces without production)
RIZ,Rice,14,Rice
LEC,Cultivated lentil (non-fodder),15,Grain legumes
PCH,Chickpea,15,Grain legumes
BVF,Fodder beet,16,Feed
CAF,Forage carrot,16,Feed
CHF,Forage cabbage,16,Feed
CPL,Forage composed of cereals and / or protein crops (in proportion <50%) and / or fodder legumes (in proportion <50%),16,Feed
DTY,Cocksfoot 5 years old or less,16,Feed
FAG,Other annual fodder of another kind,16,Feed
FET,Fescue 5 years old or less,16,Feed
FF5,Fava bean established for the 2015 harvest,16,Feed
FF6,Forage faba bean established for the 2016 harvest,16,Feed
FF7,Fava bean established for the 2017 harvest,16,Feed
FF8,Forage faba bean established for the 2018 harvest,16,Feed
FFO,Other fava bean,16,Feed
FLO,Timothy 5 years old or less,16,Feed
FSG,Another weed weed of another genus,16,Feed
GAI,Bedstraw,16,Feed
GES,Gesse,16,Feed
GFP,Other pure fodder grass 5 years old or less,16,Feed
JO5,Jarosse established for the 2015 harvest,16,Feed
JO6,Jarosse established for the 2016 harvest,16,Feed
JO7,Jarosse established for the 2017 harvest,16,Feed
JO8,Jarosse established for the 2018 harvest,16,Feed
JOD,Dehydrated Jarosse,16,Feed
JOS,Other jarosse,16,Feed
LEF,Forage lens,16,Feed
LFH,Other winter forage lupine,16,Feed
LFP,Other spring forage lupine,16,Feed
LH5,Winter forage lupine established for the 2015 harvest,16,Feed
LH6,Winter forage lupine established for the 2016 harvest,16,Feed
LH7,Winter forage lupine established for the 2017 harvest,16,Feed
LH8,Winter forage lupine established for the 2018 harvest,16,Feed
LO7,Lotier established for the 2017 harvest,16,Feed
LO8,Lotier established for the 2018 harvest,16,Feed
LOT,Lotier,16,Feed
LP5,Spring fodder lupine established for the 2015 harvest,16,Feed
LP6,Spring fodder lupine established for the 2016 harvest,16,Feed
LP7,Spring fodder lupine established for the 2017 harvest,16,Feed
LP8,Spring fodder lupine established for the 2018 harvest,16,Feed
LU5,Alfalfa planted for the 2015 harvest,16,Feed
LU6,Alfalfa planted for the 2016 harvest,16,Feed
LU7,Alfalfa planted for the 2017 harvest,16,Feed
LU8,Alfalfa planted for the 2018 harvest,16,Feed
LUD,Dehydrated alfalfa,16,Feed
LUZ,Other alfalfa,16,Feed
MC5,Mix of predominant forage legumes planted for the 2015 harvest and cereals,16,Feed
MC6,Mix of predominant fodder legumes for sowing planted for the 2016 harvest and cereals,16,Feed
MC7,Mix of predominant forage legumes planted for the 2017 harvest and cereals,16,Feed
MC8,Mix of predominant fodder legumes planted for the 2018 harvest and cereals and oilseeds,16,Feed
ME5,Mélilot established for the 2015 harvest,16,Feed
ME6,Mélilot established for the 2016 harvest,16,Feed
ME7,Mélilot planted for the 2017 harvest,16,Feed
ME8,Mélilot established for the 2018 harvest,16,Feed
MED,Dehydrated sweet clover,16,Feed
MEL,Other sweet clover,16,Feed
MH5,Mix of predominant fodder legumes planted for the 2015 harvest and herbaceous or fodder grasses,16,Feed
MH6,Mix of predominant fodder legumes planted for the 2016 harvest and herbaceous or fodder grasses,16,Feed
MH7,Mix of predominant fodder legumes sown for the 2017 harvest and herbaceous or fodder grasses,16,Feed
MI7,Minette planted for the 2017 harvest,16,Feed
MI8,Minette implanted for the 2018 harvest,16,Feed
MIN,Kitten,16,Feed
ML5,Mix of forage legumes planted for the 2015 harvest (between them),16,Feed
ML6,Mix of forage legumes planted for the 2016 harvest (between them),16,Feed
ML7,Mix of forage legumes planted for the 2017 harvest (between them),16,Feed
ML8,Mix of forage legumes planted for the 2018 harvest (between them),16,Feed
MLC,Mixture of predominant forage legumes and cereals and / or oilseeds,16,Feed
MLD,Mix of dehydrated legumes (between them),16,Feed
MLF,Mix of forage legumes (between them),16,Feed
MLG,Mix of dominant legumes at planting and fodder grasses 5 years old or less,16,Feed
MOH,Moha,16,Feed
NVF,Forage Turnip,16,Feed
PAT,Common bluegrass 5 years old or less,16,Feed
PFH,Other winter feed pea,16,Feed
PFP,Other spring feed pea,16,Feed
PH5,Winter forage peas planted for the 2015 harvest,16,Feed
PH6,Winter forage peas planted for the 2016 harvest,16,Feed
PH7,Winter forage peas planted for the 2017 harvest,16,Feed
PH8,Winter forage peas planted for the 2018 harvest,16,Feed
PP5,Spring forage peas planted for the 2015 harvest,16,Feed
PP6,Spring forage peas planted for the 2016 harvest,16,Feed
PP7,Spring forage peas planted for the 2017 harvest,16,Feed
PP8,Spring forage peas planted for the 2018 harvest,16,Feed
RDF,Forage radish,16,Feed
SA5,Sainfoin established for the 2015 harvest,16,Feed
SA6,Sainfoin established for the 2016 harvest,16,Feed
SA7,Sainfoin established for the 2017 harvest,16,Feed
SA8,Sainfoin established for the 2018 harvest,16,Feed
SAD,Dehydrated healthy,16,Feed
